marilyn manson	6421915	12667	5547	3343 3674 786 612 929 1785 5268	130 428 13821 572 44 378 3333 971
the rolling stones	6417355	21330	5530	10112 1877 1324 2541 3326 1985 1562	122 942 16719 745 70 557 8078 2565
the smiths	6413073	12796	6263	5740 1907 2610 1189 263 131 5007	71 478 11511 705 54 389 6285 1796
incubus	6384314	13846	6509	2780 3105 6751 1879 765 425 2579	124 646 11281 610 72 524 6275 2323
rise against	6371708	10816	2937	3 10 16 224 2216 4465 5630	80 145 10031 505 27 90 3168 588
kanye west	6369302	18416	6471	6773 4625 2956 709 78 3348 3187	164 712 13995 868 83 341 10084 800
oasis	6354113	16905	6803	7770 6064 1220 771 2249 639 2210	122 1442 16146 598 53 519 3957 2925
the white stripes	6305458	17390	6557	6727 5253 3341 2171 1458 749 1528	125 480 14627 971 66 323 8095 1580
belle and sebastian	6135111	11913	6993	9035 2923 2260 953 426 201 994	86 716 10058 626 50 363 7639 1717
boards of canada	6124037	13529	2699	2754 1649 1956 300 96 63 7289	104 651 10978 615 53 321 5246 428
ac/dc	6106631	20622	3193	6774 3770 1426 2089 989 2353 3522	134 519 17000 660 48 555 4194 2601
air	6081638	19503	7241	1607 11907 2904 2127 3416 386 435	129 840 19346 930 72 848 6124 1546
queens of the stone age	5932415	15000	3689	6928 3592 977 1528 1816 980 914	84 204 13596 817 44 190 3712 1629
the doors	5919105	17966	5643	10001 3467 1763 1683 2040 1253 333	153 583 16254 529 75 924 4938 2311
the offspring	5916136	17405	3765	2566 2823 4043 2894 64 761 6054	102 410 15878 660 42 297 3554 1728
pearl jam	5907669	14959	3770	4699 2600 1690 1504 638 447 4815	132 436 11191 663 58 648 4722 2554
dream theater	5897641	11320	1680	519 621 853 999 638 2764 5277	66 547 8219 378 29 896 2207 1555
beck	5793882	17370	6162	7492 2935 3601 2457 1189 1151 1349	107 916 11574 853 55 413 10854 1487
massive attack	5778446	19527	6516	5668 7236 2576 2609 2887 584 612	142 640 20316 840 74 1125 4307 1282
evanescence	5685590	11985	7063	2666 710 451 130 2450 2626 8086	175 670 13052 531 47 822 3514 1557
paramore	5683105	8367	8207	15 51 63 141 960 7165 6790	62 584 8901 618 47 149 4976 2275
bright eyes	5677896	7952	5747	639 441 865 1344 588 1196 7304	70 239 6185 504 23 239 7291 396
kings of leon	5673770	16248	7980	8922 5113 1436 1009 2658 1725 71	185 378 17321 1502 46 209 5194 1529
interpol	5663302	12814	6002	3325 7509 1853 1684 927 461 941	93 350 11374 713 61 320 5958 1694
slipknot	5661424	14198	3347	6 37 35 3083 3302 3057 6493	84 470 13958 415 29 275 2092 1368
the prodigy	5460957	20494	3241	8199 2899 3459 1533 1375 2605 994	120 510 21242 704 55 349 2113 579
my chemical romance	5416526	8816	6438	20 97 24 694 4314 3583 5354	98 602 9617 651 50 198 4032 1096
moby	5299262	20744	5157	4013 7116 2373 3668 2902 1335 729	133 585 20046 684 60 625 4499 1627
opeth	5255400	10305	2184	266 485 1105 899 1357 3671 3456	107 347 8525 475 25 876 2141 823
portishead	5195638	18122	7281	5496 9447 1762 3749 771 340 146	156 610 18105 705 72 1110 5227 2127
disturbed	5154765	12566	2891	3 279 31 1177 2469 5686 4283	82 231 12102 468 24 261 2567 651
nofx	5031397	8279	1395	2 116 417 1199 669 5159 1230	51 207 6322 328 33 76 2624 843
the strokes	4996572	13022	6480	4494 6216 959 129 877 3343 1351	90 607 10664 734 57 223 5487 3267
tori amos	4966536	6622	5249	137 1179 1226 386 299 5044 2010	66 288 7918 416 19 658 3228 485
r.e.m.	4959253	15666	3868	741 1459 788 1703 2280 1634 8166	112 463 13169 548 31 482 5268 1540
porcupine tree	4928054	8428	1974	21 916 1023 293 987 4410 1614	49 321 7527 310 18 534 1754 651
pixies	4891843	13395	4509	1415 1649 2655 471 302 119 9240	116 416 9902 783 51 246 7241 1249
children of bodom	4839244	10325	1977	14 14 33 2551 1501 786 6291	60 350 9839 283 13 370 1546 607
amy winehouse	4776246	14889	10865	4426 6417 2803 2538 3550 1813 323	132 617 17626 494 82 1125 4099 4068
franz ferdinand	4765855	15138	7383	7572 5198 1142 134 639 3147 2014	90 631 16025 603 50 413 4416 2313
the clash	4608100	13074	4305	434 1088 2499 1419 2331 2735 4676	75 527 10634 515 48 189 5975 1482
bad religion	4602062	8643	1522	17 766 383 1305 573 2021 4117	47 175 6365 235 31 99 3080 1054
eminem	4599285	14648	2954	531 537 348 71 606 5148 8353	130 620 12131 559 42 268 4679 624
avril lavigne	4588604	9740	6783	144 203 297 630 2847 6982 3875	142 1210 11018 398 41 453 2631 1886
the shins	4582949	10807	6435	3741 1928 2308 901 355 109 5735	106 344 7741 834 52 218 9022 599
sonata arctica	4576334	7522	2492	4 33 348 1793 2592 2987 1387	37 195 7887 147 9 198 1128 1020
megadeth	4568795	10703	1317	361 673 693 72 927 2075 5993	71 453 7345 319 25 758 2425 1513
the kooks	4555152	10648	7836	599 308 647 542 1236 5428 7546	86 447 14708 594 41 208 2386 1398
joy division	4538761	12147	5253	2823 2397 1271 226 164 162 8253	92 452 12335 617 44 253 4253 1327
ramones	4536188	11229	3596	1051 1511 1283 1822 184 3076 4221	61 368 9106 398 54 114 3937 2173
gorillaz	4418255	16161	4167	8871 784 2158 1394 1038 2808 920	109 522 13331 708 62 322 6427 872
rage against the machine	4399786	16234	2110	3243 4955 597 563 1125 903 4909	105 520 12648 745 42 267 4385 1227
arcade fire	4355986	12527	5161	5532 2750 2098 698 518 91 3800	88 347 10227 733 28 142 7156 864
michael jackson	4353687	16622	5663	9179 1317 1953 1634 2191 1555 1396	155 1060 15623 662 53 516 4266 1968
regina spektor	4334075	7170	7762	554 800 941 2007 70 776 8036	82 327 7863 551 21 292 5828 1345
a perfect circle	4330666	9757	3835	20 832 1142 448 678 1015 8172	127 262 8476 622 55 618 3539 955
tegan and sara	4310581	4149	5605	190 33 753 1209 1971 3984 699	50 194 4400 509 17 80 4966 424
snow patrol	4273436	11821	7062	5178 3953 1552 1910 562 1150 2003	143 693 12873 678 26 267 4527 1263
aphex twin	4252361	12430	2213	913 1201 1231 851 118 56 8456	81 814 10184 493 43 189 4365 386
slayer	4232734	11069	1138	180 660 818 408 1920 1621 5353	66 329 8924 336 15 378 2175 896
bob marley	4198188	14239	3917	269 1697 931 1334 1758 570 9010	179 419 12371 323 105 474 3991 1960
feist	4192738	10757	8384	5608 5166 2095 1060 1012 460 1013	108 725 10424 630 44 401 7411 1413
beastie boys	4129281	14438	2371	665 1912 811 1315 1422 154 8181	69 489 9936 632 37 159 6330 1115
cat power	4051206	8265	6656	1114 1744 1469 76 254 1510 6702	89 406 8161 593 45 408 5504 1521
deftones	4022747	9143	2511	111 969 1017 208 799 3792 3715	86 235 7635 396 47 243 2872 1041
sonic youth	3971855	10397	2979	1606 1551 1292 126 1564 2015 3689	64 521 7995 559 37 186 4593 1264
blind guardian	3971624	8010	1492	4 11 733 1129 3353 1702 1714	33 136 7057 163 9 532 1146 998
afi	3921471	7172	3594	1 6 300 1754 909 2517 4392	70 122 6059 533 24 80 4221 413
beirut	3904359	9335	5858	908 811 1153 1303 43 56 9040	83 322 8816 412 40 753 4986 1359
brand new	3805013	4975	3144	1 4 23 276 1079 1043 5056	45 110 2521 334 10 37 5506 101
bruce springsteen	3774413	10083	2182	579 1207 1050 1873 1169 2808 1483	56 288 9019 315 22 142 3511 308
jimmy eat world	3766067	7923	4111	2 13 1113 1856 159 1218 6547	82 340 6707 439 23 67 4869 403
mogwai	3760118	9890	2389	638 1408 762 322 37 680 7072	63 591 8177 445 31 323 3488 492
of montreal	3684025	6264	3774	245 579 962 723 652 2561 3293	51 283 3433 327 28 100 6364 590
black sabbath	3673515	13601	1851	612 780 1847 1616 856 2514 5332	68 436 10102 423 34 560 3239 1812
sum 41	3651172	9225	3080	4 12 105 120 2741 5404 2785	70 441 9332 334 22 110 1966 805
misfits	3623090	7302	2277	15 472 998 1204 983 1631 3329	41 105 5243 205 28 68 3783 970
iron & wine	3513490	7714	5022	1200 1638 620 219 116 2915 4261	69 346 5249 457 17 215 7291 438
the decemberists	3501894	7184	4074	869 1217 689 223 156 1319 5479	65 188 3958 354 19 165 7388 308
animal collective	3500702	8120	3208	487 895 807 730 1391 1455 4328	40 356 4969 491 31 90 6443 390
him	3470397	5995	4140	5 14 615 1919 3445 1933 1282	66 193 8025 223 20 478 1242 575
john mayer	3450720	7330	4466	222 263 818 928 2127 1529 4141	98 780 4743 501 29 171 5372 1111
the who	3405198	12167	2681	407 1463 2023 1202 857 5626 1226	55 505 8853 344 34 270 4867 1436
enya	3374982	8337	3079	673 1583 1061 120 1925 3559 849	103 595 7827 265 25 304 2608 730
kylie minogue	3369163	6901	2591	253 1293 1251 200 255 3529 1535	50 385 6372 375 15 276 1709 1151
morrissey	3343024	6837	2947	193 1119 553 568 2521 2630 891	27 175 6436 189 33 529 2630 923
the chemical brothers	3322484	14865	2798	2038 3826 1514 658 378 147 6667	65 753 13447 735 41 316 3019 1138
30 seconds to mars	3321668	7005	4961	7 13 30 1406 2744 2374 4291	94 220 9105 321 28 183 1768 929
rihanna	3311874	10959	7188	618 511 244 186 3280 3026 8224	127 878 12342 446 67 504 3298 1846
elvis presley	3286925	10282	4095	285 1325 1767 1080 1083 4672 2011	68 365 10252 311 39 474 2813 1516
apocalyptica	3284328	9028	3841	18 51 420 1408 3180 1943 4441	65 199 10422 210 16 532 1537 766
the knife	3273723	8147	4054	405 866 1190 740 60 1616 6035	62 183 9442 422 36 275 2689 576
thievery corporation	3246857	10831	2890	326 1735 669 484 533 2292 4989	89 318 9613 408 42 430 3767 710
nickelback	3244659	10413	4593	21 244 324 2241 3409 5193 1943	130 551 10707 401 30 331 2611 1232
katatonia	3230037	5589	1760	1 445 661 325 2289 2461 425	54 137 5796 164 17 549 751 352
dropkick murphys	3178221	6802	1231	12 507 686 533 1987 2966 536	48 116 5720 182 15 62 2224 317
mindless self indulgence	3173269	4208	2653	2 8 259 602 1063 1944 2459	34 77 3857 303 14 54 2927 128
norah jones	3171115	10059	5210	873 1377 1267 607 2406 2625 3477	124 997 10044 303 36 807 3116 1350
explosions in the sky	3151151	7519	2357	316 342 634 343 2614 3971 682	54 387 4862 317 25 258 4480 429
bob marley & the wailers	3123304	11271	2336	632 1633 1111 799 426 2957 3951	107 410 9270 279 71 214 3499 1167
neil young	3122204	10138	1850	1245 756 1766 678 2913 1897 724	59 380 7410 505 26 184 4386 499
2pac	3118431	7696	1027	12 30 488 2733 1410 2569 325	90 211 5653 264 30 157 2745 289
the mars volta	3117625	7816	1663	506 379 350 59 2355 3846 1149	43 230 5114 457 38 167 3462 835
amon amarth	3115379	7580	1184	6 536 529 1033 3749 1335 739	52 122 6799 216 8 325 1308 396
jimi hendrix	3089891	12890	2376	900 1437 1751 721 492 1843 5930	94 515 9900 471 40 502 3996 1189
judas priest	3076362	8701	1263	513 768 1253 994 1070 2003 2207	43 332 6888 214 15 601 1655 962
anathema	3074557	5846	2116	19 863 146 431 3648 1253 794	85 126 5934 116 18 1147 536 534
kent	3073621	3744	1825	139 114 22 1537 1670 846 623	10 130 5593 38 2 62 264 82
alkaline trio	3052475	4998	1740	0 135 8 836 928 2289 2032	43 91 3167 188 16 50 3479 228
manu chao	3041523	9572	3393	621 1165 1450 488 191 2291 4924	79 156 9894 143 59 398 1910 1706
billy talent	3026436	7519	3142	4 11 85 962 1878 3262 3546	74 90 9472 255 13 65 1249 152
the national	3009869	6442	2599	722 702 392 84 552 4540 793	70 140 5249 334 14 111 3744 373
bullet for my valentine	2999870	7750	2590	1 7 57 518 1042 3442 4427	52 245 8613 315 24 106 1069 531
pj harvey	2985455	7033	4486	1553 873 375 1301 1882 3282 706	52 179 8869 468 35 446 2063 848
pantera	2965903	9100	1373	121 248 470 1915 1060 2778 2784	48 247 7162 286 18 435 1861 1117
frank zappa	2962486	6559	799	943 741 460 1050 1836 684 702	27 254 4630 218 15 151 2379 549
nas	2949707	8465	929	4 420 1084 602 3130 2270 562	86 233 5952 234 28 68 3485 141
tenacious d	2935697	10571	1737	107 28 31 2179 4148 3714 1004	51 120 9492 314 18 230 2364 571
jamiroquai	2933967	10735	3081	725 969 1021 954 279 52 7905	72 727 9942 415 44 418 1813 1710
sublime	2924483	7127	2330	183 405 862 382 5204 1022 282	54 172 3124 211 31 92 5715 949
broken social scene	2923468	6537	3359	348 882 793 320 530 2070 3892	52 398 3624 386 27 121 5992 394
jay-z	2918969	8934	1447	14 586 945 461 974 3830 2069	98 274 5754 232 40 81 4669 210
keane	2914638	9089	4804	1011 1497 1781 337 375 2151 4874	81 764 9008 246 26 336 2999 1669
damien rice	2912477	6266	5641	387 874 817 832 254 941 6392	71 436 7826 368 25 371 3021 814
infected mushroom	2892472	7670	1356	153 373 536 362 969 5063 635	82 170 6513 241 9 439 1718 623
blur	2888021	10021	4003	445 1773 1592 750 205 870 6637	51 666 10293 425 21 239 2449 1337
frank sinatra	2876336	9513	3704	807 1115 1015 949 654 5792 674	66 407 8549 294 42 449 3804 1035
the used	2863690	4189	3512	0 1 19 91 344 3277 3412	42 246 4330 418 23 66 2382 679
yann tiersen	2858734	4474	2826	255 383 640 438 1700 2548 461	34 169 5330 150 27 425 1162 668
breaking benjamin	2851211	6455	2742	4 12 49 2721 605 4309 598	91 228 6321 325 18 191 2180 383
panic at the disco	2840281	5111	4854	1 8 68 142 2576 3925 2376	39 303 5699 378 27 68 3207 897
dark tranquillity	2837807	6077	907	2 327 517 684 1771 2608 376	54 179 5281 156 10 535 856 310
dir en grey	2816315	1791	1542	1 132 20 301 742 1257 716	7 229 2281 66 7 19 795 305
killswitch engage	2809221	7361	1145	1 8 784 1690 338 1266 3726	47 156 6330 341 17 117 1588 453
lady gaga	2800345	8123	5454	21 89 66 421 5060 4532 1861	64 427 9273 428 41 269 2773 1367
jason mraz	2769072	6182	5224	106 77 358 1311 2083 5219 777	55 1097 5967 362 38 162 3663 1044
rancid	2758429	5335	1433	4 327 731 325 3262 1021 461	41 193 3973 176 23 53 2318 585
the mountain goats	2741994	3535	1567	17 14 1075 1057 1053 814 537	33 69 1472 269 6 22 3813 71
arch enemy	2703337	6861	1158	13 19 703 1737 2208 2178 398	58 274 6022 202 9 337 961 612
eels	2685217	6758	2336	673 640 271 476 1706 3023 1224	40 196 7069 347 14 109 2119 192
christina aguilera	2681410	5286	4914	119 1001 1077 616 2137 1513 2520	57 502 6388 267 39 287 2189 1270
miles davis	2659967	10818	1671	662 932 1203 1057 3149 1936 1238	78 801 7633 338 31 287 4094 952
guns n' roses	2653015	9381	2367	829 594 1223 598 960 3283 2889	58 400 8008 285 35 530 1933 1486
papa roach	2636215	7823	2674	1 9 119 1541 1006 4216 2632	56 220 8494 185 17 153 1288 734
justice	2619414	10773	2879	7 741 1242 763 1198 2427 5704	45 398 9172 441 35 122 3789 962
as i lay dying	2614480	5936	1023	2 7 39 99 823 2176 3211	36 134 5049 191 19 101 1433 397
the magnetic fields	2593965	4513	2362	438 497 484 449 1734 2242 338	31 148 3002 226 21 75 4100 309
avenged sevenfold	2593496	5322	1872	3 4 58 112 953 2865 2611	39 226 4407 257 12 136 1780 781
lily allen	2586435	7825	5998	940 609 1380 772 1026 3057 4316	54 543 8608 628 33 298 3538 1425
enigma	2582668	6998	2003	592 736 445 1406 2061 1599 767	70 431 6779 154 24 349 1519 465
goldfrapp	2580143	8763	4147	324 1458 1105 1114 2221 2630 1929	53 270 9248 497 31 386 2900 880
the beach boys	2577132	9182	2923	674 1022 1414 572 817 2761 3146	42 533 6803 396 29 128 4713 919
aerosmith	2572707	10206	3627	538 753 866 1885 1101 2351 4613	66 648 8317 227 38 450 3076 2095
bonobo	2572016	8097	2538	998 709 179 36 2359 3310 1257	64 241 8796 227 29 467 1642 311
dimmu borgir	2569411	6138	1172	2 10 841 2047 2444 1067 247	52 139 5865 177 10 169 937 400
alice in chains	2569234	7837	1928	178 544 1450 583 581 660 4561	35 235 5533 281 32 369 2907 1183
mariah carey	2534956	4877	3007	112 800 698 1046 1000 1983 1156	85 927 3706 281 35 212 2380 1006
ryan adams	2528046	4364	2102	374 724 717 904 2219 398 230	36 121 3308 268 11 29 3192 207
rush	2521495	6048	590	107 553 733 1455 609 1444 755	19 208 2946 91 20 226 2832 895
maroon 5	2517215	7370	5660	218 514 565 1193 1979 2063 4863	91 1116 6414 394 38 411 3928 1673
mgmt	2499459	11509	6143	649 890 246 32 2968 2058 8362	94 399 11340 927 37 157 5143 1236
the velvet underground	2497710	8146	3640	829 1355 1081 415 142 3193 3321	56 408 6676 396 35 205 4440 1073
andrew bird	2497458	5494	3365	344 1139 588 121 453 2145 2871	54 193 3282 264 14 154 5627 327
limp bizkit	2490867	9826	1727	4 263 677 1698 1437 3519 2837	64 364 9498 243 29 256 1128 739
nick cave and the bad seeds	2489329	5848	2088	899 863 1708 1013 1007 1042 318	51 96 6436 534 13 231 1398 234
soilwork	2488922	5027	664	0 167 159 956 613 692 2589	23 122 4751 157 5 123 642 215
the cranberries	2482446	8497	4174	1026 1579 1012 165 104 1458 5904	115 541 8414 247 46 776 2110 1421
cradle of filth	2478474	5782	1442	1 9 1031 786 2215 2047 450	48 152 5735 186 8 223 886 447
nelly furtado	2475858	8980	4929	549 633 1510 972 591 1475 6544	102 453 10572 237 43 325 2052 1158
ladytron	2472617	6614	3108	433 1141 420 269 533 3338 2378	32 160 6584 267 29 214 2756 741
garbage	2465400	5357	3672	214 681 829 932 213 606 4520	41 193 5419 337 22 228 2619 979
hans zimmer	2451023	6178	2098	19 863 525 1072 1939 1925 834	46 242 6618 166 12 192 1376 302
atb	2446948	6967	1418	5 323 195 884 1243 4185 610	43 190 6935 134 13 127 1268 235
lacuna coil	2445642	5471	2400	198 187 537 833 984 3795 650	63 151 5546 209 20 384 1314 706
coheed and cambria	2441487	4735	1333	0 4 354 784 1733 1509 1263	30 118 2631 253 21 35 3252 203
[unknown]	2436837	11968	4781	100 1042 2075 1441 614 1020 8274	126 747 12940 199 45 917 1916 1539
lil wayne	2433852	4324	1119	0 204 545 881 514 1434 1184	41 108 2669 93 20 48 2801 112
3 doors down	2427229	8133	3772	38 63 95 2223 2352 5087 699	115 328 8726 249 39 403 2013 829
the postal service	2424482	7033	4217	113 326 733 538 688 3374 4384	50 377 4706 419 27 139 6017 555
helloween	2400225	5903	1023	4 191 757 333 1102 2735 1081	19 222 5091 92 12 247 647 1055
alanis morissette	2391342	6878	4375	133 1009 1372 634 368 3804 2575	110 412 6568 287 32 430 2560 1856
bon jovi	2380365	7629	3007	132 550 1408 1567 507 5083 70	63 616 7194 246 23 424 1624 1319
the kinks	2378585	7304	2975	709 1468 921 208 734 3699 1186	31 341 5918 338 21 142 3994 763
guns n roses	2375310	8467	1916	682 650 1028 1094 746 2426 2373	51 383 7638 239 22 303 1608 994
devendra banhart	2371068	5070	3540	569 956 729 470 548 1617 2760	53 229 4680 256 28 201 3530 688
the libertines	2368807	4618	2761	4 217 1014 1057 2221 1375 717	27 292 5701 188 21 88 979 750
taking back sunday	2362224	4303	3122	0 4 5 79 1119 2699 2970	38 204 3145 321 14 47 3861 290
dave matthews band	2361154	5168	1997	139 364 522 945 1709 1798 652	80 201 2407 139 19 125 4229 665
the flaming lips	2361118	7279	2019	744 822 646 126 993 3711 1143	40 305 3620 414 19 74 5439 497
kings of convenience	2351851	6034	3869	654 1036 366 187 504 2564 3302	38 568 6491 189 35 581 2165 951
pendulum	2344041	8942	1642	7 12 22 2651 855 2516 3468	35 108 9516 501 16 62 1012 128
johann sebastian bach	2334745	6594	1530	761 824 507 1830 1554 494 650	58 403 5244 221 22 442 2164 709
stars	2333175	4116	3254	107 349 497 526 967 2527 1475	38 392 2490 265 16 58 4627 207
o.s.t.r.	2330844	2765	787	1 2 370 1006 1116 591 53	27 20 3592 22 27 7 32 13
kamelot	2321661	4484	1205	4 305 742 461 1923 1069 655	31 145 3973 132 8 192 1011 556
good charlotte	2317982	5502	3835	2 10 58 157 2041 3665 2597	54 315 6953 392 18 108 1403 676
kelly clarkson	2308077	4878	4251	7 62 402 2360 1899 2770 620	75 521 5235 299 26 179 2520 976
rilo kiley	2307860	3293	3530	5 255 49 581 2689 1758 748	28 197 1965 168 12 65 4793 245
lamb of god	2304646	6132	685	3 232 411 1470 1458 2206 358	46 223 4645 227 19 283 1392 380
simon & garfunkel	2280584	7967	3655	319 1390 1268 443 1314 3628 1425	68 429 7188 367 19 211 4182 457
spoon	2273771	5781	2477	464 584 355 183 1453 3200 887	31 162 2206 339 19 63 6008 340
kaiser chiefs	2273324	8472	4147	721 502 1651 118 1235 376 6461	75 266 10147 396 27 188 1439 1194
nick drake	2268337	6762	2652	529 950 390 247 2164 3048 775	44 307 5892 307 20 271 3332 509
audioslave	2252837	9218	1944	130 732 407 717 1225 284 6278	85 290 7090 347 31 456 2240 1458
pavement	2250929	5287	1467	451 324 183 661 1218 2488 677	27 221 2896 282 17 43 3744 400
lostprophets	2249634	5212	2274	1 22 28 132 1499 2990 2216	48 199 6109 225 7 77 971 308
morcheeba	2249312	7824	2785	646 1094 603 134 2289 3591 490	63 180 8674 202 22 491 1345 643
underoath	2245466	4550	1484	2 3 17 745 1011 2473 1283	32 139 3082 291 23 38 2361 433
dashboard confessional	2244631	4153	3208	1 6 379 1484 630 934 3179	43 338 2714 275 9 58 3913 512
flogging molly	2243354	5747	1634	6 713 805 377 2401 2103 267	37 83 5020 98 16 50 2409 283
deep purple	2241586	9454	1640	369 901 1187 1259 1115 3340 1491	45 377 8398 134 22 789 945 1313
ensiferum	2227798	4801	1075	2 6 574 858 1013 1570 1269	31 82 4895 95 7 178 688 217
iced earth	2217199	5117	765	2 107 192 1228 2071 1258 443	31 89 3952 117 11 467 1014 567
cocorosie	2198752	4330	4212	430 796 525 609 33 2256 2957	66 155 6364 197 29 337 1817 620
mando diao	2196126	4684	2520	3 9 771 940 2907 1457 240	27 157 7010 42 11 35 289 236
anberlin	2195773	3472	1738	1 5 167 702 682 1380 1754	25 198 2067 339 11 26 2586 319
justin timberlake	2183497	7440	5905	148 383 763 1677 1793 5026 1981	88 523 8659 465 40 319 3123 1155
travis	2176694	6226	3815	508 952 911 71 248 1122 4936	57 764 6618 127 13 725 1520 1107
cake	2171630	6318	2453	111 631 767 581 126 2497 2941	42 188 2868 283 12 371 5125 792
weezer	2168956	4931	1489	3 125 336 943 1834 1585 899	20 232 2519 166 16 37 3504 535
atmosphere	2164890	4182	1044	0 4 233 784 1369 1687 557	28 65 2196 150 7 38 3182 57
therion	2164096	4375	1006	3 9 144 1996 1569 476 633	44 102 4076 57 9 332 661 488
dire straits	2156590	9901	1474	774 1577 980 864 3052 2005 343	94 294 9379 298 11 473 1188 740
atreyu	2153542	4699	1456	0 2 41 62 1325 1816 2432	38 111 4131 284 14 46 1554 332
behemoth	2152518	4840	752	198 8 898 813 1343 893 808	35 119 4295 124 3 139 848 288
against me!	2149275	3654	1299	0 3 232 639 740 1135 1801	31 64 1804 197 8 33 3196 86
millencolin	2143119	4663	782	1 5 129 707 353 1437 2368	29 61 4090 220 4 29 646 756
alexisonfire	2125804	4221	1452	2 15 212 212 800 1491 2509	37 72 3600 365 11 29 1524 406
